2023-09-28,16:20:42.704286,411.51,124.64,0.00,0.09,2.70,192.24,140.71,0.03,1.46,
2023-09-28,16:20:42.704286,29.88,847.02,1486.19,45.83,503,3.84,0.33,0.19,0.69,1.44,0.37,0.00,411.00,411.51,124.64,0.00,0.09,2.70,192.24,140.71,0.03,1.46,
2023-09-28,16:20:42.704286,29.88,847.02,1486.19,45.83,503,3.84,0.33,0.19,0.69,1.44,0.37,0.00,411.-- Default Test --
2023-09-28,16:20:43.761138,
2023-09-28,16:20:43.761138,==== Load Resistors for MIC6814====
2023-09-28,16:20:43.790780,CO, 818000
2023-09-28,16:20:43.806402,NH3, 151000
2023-09-28,16:20:43.822027,NO2, 16300
2023-09-28,16:20:43.837651,==== R0 for MIC6814====
2023-09-28,16:20:43.861294,CO, 818000
2023-09-28,16:20:43.869303,NH3, 151000
2023-09-28,16:20:43.884970,NO2, 16300
2023-09-28,16:20:43.900595,==== Equation to get the concetraition of CO, NH3 and NO2 ====
2023-09-28,16:20:43.963637,Conctration = exp((log(Rs/R0) - b)/m)
2023-09-28,16:20:44.010798,Parameter for CO, NH3 and NO2
2023-09-28,16:20:44.042069,m_CO, -0.85, b_CO, 1.26
2023-09-28,16:20:44.061923,m_NH3, -0.54, b_NH3, -0.24
2023-09-28,16:20:44.089632,m_NO2, 1.01, b_NO2, 1.85
2023-09-28,16:20:44.120796,==== DATA STRUCTURE ====
Date,time,T[C],P[hPA],z[m],H[%],CO2[ppm],CO[ppm],NH3[ppm],NO2[ppm],H2(CO)[ppm],Etanol(CO)[ppm],NH3(CO)[ppm],H2S(CO)[ppm],CH4(CO)[ppm],C3H8(CO)[ppm],Iso-butano(CO)[ppm],Etanol(NH3)[ppm],H2(NH3)[ppm],C3H8(NH3)[ppm],Iso-butano(NH3)[ppm],NO(NO2)[ppm],H2(NO2)[ppm],lot,lat,A_1,speed,Angle,SO2_AFE,O3_AFE,PM2.5
2023-09-28,16:20:44.424902,19.8,67888.0,1486.08,45.79,503,0.0501,0.01,0.0034,0.70,0.0193,0.38,0.00,10.3422,10.1404,6.4911,0.09,2.77,196.49,143.47,0.03,0.009,-75.285331,6.225048,-203.4,85.7,2.900946834537863,0.3003173379888591,0.038614948096677586,0.18781647583067984,
2023-09-28,16:20:44.566312,20.2,67897.0,1485.85,45.81,512,0.0445,0.0086,0.0035,0.71,0.0165,0.40,0.00,6.6707,8.1372,5.3847000000000005,0.09,2.77,196.49,143.47,0.03,0.0075,-75.285331,6.225048,-203.4,85.7,1.6983478455046688,0.007972339304310516,0.008315463107887455,0.3378487025816617,
2023-09-28,16:20:44.680553,20.5,67816.0,1486.19,45.81,512,0.0417,0.0077,0.0036,0.71,0.0152,0.40,0.00,5.2334000000000005,6.872999999999998,4.6655,0.09,2.77,196.49,143.47,0.03,0.0068,-75.285331,6.225048,-203.4,85.7,0.7903566716027378,0.3188852888453693,-0.041301232232643315,0.004337377452243885,
2023-09-28,16:20:44.810816,20.8,67942.0,1486.01,45.82,512,0.039,0.0068,0.0037,0.71,0.0139,0.40,0.00,4.0886000000000005,5.7016,3.9811,0.09,2.74,194.35,142.08,0.03,0.0061,-75.285331,6.225048,-203.4,85.7,0.9786971135350322,0.10372724512532755,-0.016342841043975306,0.041406207644687,
2023-09-28,16:20:44.936196,21.1,67966.0,1485.72,45.84,512,0.038,0.0062,0.0039,0.70,0.0134,0.39,0.00,3.7137,4.9565,3.5347000000000004,0.09,2.77,196.49,143.47,0.03,0.0059,-75.285331,6.225048,-203.4,85.7,0.1264209915059046,0.25255195783224155,0.07045031865653742,0.20852158416759015,
2023-09-28,16:20:45.066186,21.4,67875.0,1485.90,45.84,512,0.0368,0.0056999999999999,0.0039,0.70,0.0129,0.38,0.00,3.3057,4.3638,3.1724,0.09,2.77,196.49,143.47,0.03,0.0056,-75.285331,6.225048,-203.4,85.7,2.142334004275768,0.47336119248597797,0.2721889489417719,0.2959140375468786,
2023-09-28,16:20:45.187990,21.7,67906.0,1485.83,45.84,512,0.0359,0.0052,0.004,0.71,0.0124,0.40,0.00,2.9976,3.8084,2.8261000000000003,0.09,2.80,198.64,144.87,0.03,0.0054,-75.166738,6.262734,3446.8,166.62,2.511132756203641,0.10019998924496387,0.11376983032819711,0.11752710159834284,
2023-09-28,16:20:45.313815,22.0,67925.0,1485.66,45.87,512,0.0349,0.0048,0.0041,0.71,0.012,0.40,0.00,2.7161,3.3986,2.5657,0.09,2.77,196.49,143.47,0.03,0.0052,-75.15050600000002,6.2718050000000005,3443.4,166.28,1.72454540615609,0.3535453949538301,0.33525314194035927,0.23851690504824163,
2023-09-28,16:20:45.439234,22.3,67909.0,1485.77,45.88,512,0.0345,0.0045,0.0043,0.71,0.0118,0.40,0.00,2.6104000000000003,3.0672,2.3517,0.09,2.77,196.49,143.47,0.03,0.0051,-75.134919,6.280354,3448.4,165.61,1.8319833858802597,0.470989074952273,0.23335952151271858,0.18531595003591034,
2023-09-28,16:20:45.567369,22.5,67936.0,1485.87,45.88,512,0.034,0.0042,0.0043,0.71,0.0116,0.40,0.00,2.459,2.7986,2.1756,0.09,2.77,196.49,143.47,0.03,0.0049,-75.11890600000002,6.289755,3435.6,168.71,1.9882627317627333,0.3000746066849687,0.2431619927734303,0.2290357698228096,
2023-09-28,16:20:45.700209,22.8,67948.0,1485.90,45.88,512,0.0336,0.004,0.0044,0.72,0.0114,0.41,0.00,2.3625,2.555,2.0138,0.09,2.80,198.64,144.87,0.03,0.0049,-75.102663,6.2992300000000006,3424.1,167.55,1.344901014313856,0.14767131603426614,0.412091069051408,0.2146804967616741,
2023-09-28,16:20:45.825937,23.0,67987.0,1485.95,45.89,512,0.0333,0.0038,0.0044,0.71,0.0113,0.40,0.00,2.2695,2.3338,1.8647,0.09,2.77,196.49,143.47,0.03,0.0048,-75.086963,6.307997,3433.2,169.13,2.860151920234198,0.11827065570652173,0.21550653740567335,0.4303659157312905,
2023-09-28,16:20:45.935572,23.2,67989.0,1485.86,45.89,512,0.0331,0.0036,0.0045,0.71,0.0112,0.40,0.00,2.2242,2.1758,1.7569,0.09,2.80,198.64,144.87,0.03,0.0046999999999999,-75.070419,6.317113,3418.7,169.24,0.6983834649006244,0.00046509925926274676,0.2949263632185174,0.2932590506863908,
2023-09-28,16:20:46.077299,23.4,67972.0,1485.54,45.90,512,0.0329,0.0034,0.0046,0.71,0.0111,0.40,0.00,2.1798,2.0289,1.6557,0.09,2.80,198.64,144.87,0.03,0.0046999999999999,-75.053881,6.326085,3420.0,168.12,2.0700688028818215,0.4290472574317921,0.3830444384920806,0.0652288740187516,
2023-09-28,16:20:46.203155,23.6,67822.0,1485.78,45.89,512,0.0322,0.0032,0.0046,0.71,0.0108,0.40,0.00,2.0101,1.8551,1.5345,0.09,2.80,198.64,144.87,0.03,0.0046,-75.03846300000002,6.334725,3431.8,164.12,1.560105211168962,0.05280697180469912,0.3751352110021618,0.37973199103576233,
2023-09-28,16:20:46.329167,23.8,67861.0,1486.04,45.88,512,0.0324,0.0031,0.0048,0.71,0.0109,0.40,0.00,2.0513,1.7479,1.4589,0.09,2.83,200.82,146.28,0.03,0.0046,-75.0225,6.343891999999999,3441.1,165.5,1.4918721638422603,0.45256912952709266,0.37549936416799884,0.005426956244986902,
2023-09-28,16:20:46.443875,23.9,67888.0,1486.19,45.88,512,0.032,0.003,0.0048,0.71,0.0107,0.40,0.00,1.9695,1.6471,1.3871,0.09,2.80,198.64,144.87,0.03,0.0045,-75.00635,6.352812,3427.5,165.65,0.9227209360701518,0.37649436139955383,0.370088403604704,0.3732886065425332,
2023-09-28,16:20:46.574824,24.1,67819.0,1485.85,45.84,512,0.0317,0.0029,0.0049,0.71,0.0106,0.40,0.00,1.8907,1.537,1.308,0.09,2.80,198.64,144.87,0.03,0.0044,-74.990988,6.361068,3418.6,162.47,0.07676219061907012,0.19009219499359087,0.21982418610260465,0.03400493732516824,
2023-09-28,16:20:46.700702,24.3,67866.0,1486.03,45.85,512,0.032,0.0028,0.0049,0.71,0.0107,0.40,0.00,1.9695,1.4922,1.2755,0.09,2.80,198.64,144.87,0.03,0.0045,-74.975144,6.370182,3409.5,164.21,1.3018205322726426,0.32536507356351085,0.5439887234226688,0.17539839214764547,
2023-09-28,16:20:46.826212,24.4,67804.0,1485.84,45.85,512,0.0317,0.0027,0.005,0.71,0.0106,0.40,0.00,1.8907,1.3925999999999998,1.2028,0.09,2.83,200.82,146.28,0.03,0.0044,-74.959413,6.379365,3414.3,161.54,0.9656277775225787,0.3254709775077287,0.48773763779496987,0.05454083528262549,
2023-09-28,16:20:46.952177,24.6,67764.0,1485.84,45.85,512,0.0317,0.0026,0.005,0.71,0.0106,0.40,0.00,1.8907,1.3388,1.1633,0.09,2.80,198.64,144.87,0.03,0.0044,-74.9443,6.387708,3441.9,160.28,2.5005917502132893,0.14780077198035046,0.41599878999607914,0.3404626626272897,
2023-09-28,16:20:47.078839,24.7,67755.0,1485.96,45.85,512,0.0315,0.0025,0.0052,0.71,0.0105,0.40,0.00,1.8524,1.2744,1.1156,0.09,2.83,200.82,146.28,0.03,0.0044,-74.92885,6.396828,3454.7,160.81,0.7876618721292422,0.1063255461471192,0.4488602614028185,0.2587903521946823,
2023-09-28,16:20:47.204812,24.8,67874.0,1486.01,45.84,512,0.0317,0.0025,0.0052,0.71,0.0106,0.40,0.00,1.8907,1.2252,1.0789,0.09,2.83,200.82,146.28,0.03,0.0044,-74.913688,6.406691,3431.6,163.55,0.5692925073687323,0.28400776195114813,0.4573855715930694,0.04053150085884194,
2023-09-28,16:20:47.330111,25.0,67933.0,1485.93,45.84,512,0.0313,0.0024,0.0053,0.71,0.0104,0.40,0.00,1.8148,1.1663,1.0347,0.09,2.80,198.64,144.87,0.03,0.0044,-74.898931,6.416102,3419.2,164.74,0.9439971633284644,0.0793538834229019,0.5085858458425304,0.351350550392022,
2023-09-28,16:20:47.455940,25.1,67899.0,1486.00,45.84,512,0.0313,0.0023,0.0053,0.71,0.0104,0.40,0.00,1.8148,1.1213,1.0007,0.09,2.83,200.82,146.28,0.03,0.0044,-74.88333100000001,6.42576,3433.0,162.95,2.287558279714483,0.11680030939666053,0.7428221010125968,0.1262619078284854,
2023-09-28,16:20:47.581503,25.2,67914.0,1485.96,45.85,512,0.0313,0.0023,0.0054,0.72,0.0104,0.41,0.00,1.8148,1.078,0.9678,0.09,2.80,198.64,144.87,0.03,0.0044,-74.8673,6.434471,3441.8,163.11,1.0398637784232183,0.41843088709403903,0.62895992352394,0.07984210148062454,
2023-09-28,16:20:47.707393,25.3,67865.0,1485.88,45.85,512,0.0311,0.0022,0.0054,0.72,0.0103,0.41,0.00,1.7778999999999998,1.0364,0.936,0.09,2.83,200.82,146.28,0.03,0.0043,-74.851938,6.442532,3439.1,161.03,1.3998803179810515,0.20674600052151193,0.6410197749148205,0.4609904278907017,
2023-09-28,16:20:47.832595,25.5,67919.0,1485.87,45.85,512,0.031,0.0021,0.0054,0.71,0.0103,0.40,0.00,1.7416,0.9963,0.9052,0.09,2.83,200.82,146.28,0.03,0.0043,-74.836063,6.451317,3424.3,162.65,1.7411468680196815,0.20612082347987176,0.6724939806952933,0.03964386272783482,
2023-09-28,16:20:47.958138,25.6,67924.0,1485.99,45.86,520,0.031,0.0021,0.0056,0.71,0.0103,0.40,0.00,1.7416,0.9673,0.8826999999999999,0.09,2.83,200.82,146.28,0.03,0.0043,-74.819819,6.459233,3412.5,161.74,1.1510170202247245,0.07385648661160538,0.7812426508927048,0.41558247876409554,
2023-09-28,16:20:48.084220,25.7,67900.0,1485.98,45.85,512,0.031,0.002,0.0056,0.72,0.0103,0.41,0.00,1.7416,0.9299,0.8536,0.09,2.83,200.82,146.28,0.03,0.0043,-74.804163,6.46665,3435.1,161.57,3.064200883725808,0.45671843644789883,0.6588249004925227,0.34305435933386097,
2023-09-28,16:20:48.209930,25.8,67913.0,1486.12,45.90,512,0.0308,0.002,0.0056999999999999,0.72,0.0102,0.41,0.00,1.706,0.9027,0.8325,0.09,2.83,200.82,146.28,0.03,0.0043,-74.788375,6.4754,3441.7,161.75,2.95491513442341,0.3908343238372941,0.8757036238169887,0.23179629876016572,
2023-09-28,16:20:48.335463,25.9,67905.0,1486.01,45.96,512,0.031,0.002,0.0056999999999999,0.72,0.0103,0.41,0.00,1.7416,0.8764,0.8118000000000001,0.09,2.83,200.82,146.28,0.03,0.0043,-74.772706,6.48451,3427.0,160.65,0.5237602456921513,0.3897399409964873,0.8336267083196366,0.38708131626915304,
2023-09-28,16:20:48.471050,26.0,67954.0,1485.93,45.98,512,0.0308,0.0019,0.0056999999999999,0.71,0.0102,0.40,0.00,1.706,0.8508,0.7916,0.09,2.83,200.82,146.28,0.03,0.0043,-74.757375,6.492577,3421.7,164.8,1.5176821546418775,0.3576735149155958,0.7302581301907952,0.48161093627414686,
