2023-09-28,16:20:42.704286,411.51,124.64,0.00,0.09,2.70,192.24,140.71,0.03,1.46,
2023-09-28,16:20:42.704286,29.88,847.02,1486.19,45.83,503,3.84,0.33,0.19,0.69,1.44,0.37,0.00,411.00,411.51,124.64,0.00,0.09,2.70,192.24,140.71,0.03,1.46,
2023-09-28,16:20:42.704286,29.88,847.02,1486.19,45.83,503,3.84,0.33,0.19,0.69,1.44,0.37,0.00,411.-- Default Test --
2023-09-28,16:20:43.761138,
2023-09-28,16:20:43.761138,==== Load Resistors for MIC6814====
2023-09-28,16:20:43.790780,CO, 818000
2023-09-28,16:20:43.806402,NH3, 151000
2023-09-28,16:20:43.822027,NO2, 16300
2023-09-28,16:20:43.837651,==== R0 for MIC6814====
2023-09-28,16:20:43.861294,CO, 818000
2023-09-28,16:20:43.869303,NH3, 151000
2023-09-28,16:20:43.884970,NO2, 16300
2023-09-28,16:20:43.900595,==== Equation to get the concetraition of CO, NH3 and NO2 ====
2023-09-28,16:20:43.963637,Conctration = exp((log(Rs/R0) - b)/m)
2023-09-28,16:20:44.010798,Parameter for CO, NH3 and NO2
2023-09-28,16:20:44.042069,m_CO, -0.85, b_CO, 1.26
2023-09-28,16:20:44.061923,m_NH3, -0.54, b_NH3, -0.24
2023-09-28,16:20:44.089632,m_NO2, 1.01, b_NO2, 1.85
2023-09-28,16:20:44.120796,==== DATA STRUCTURE ====
Date,time,T[C],P[hPA],z[m],H[%],CO2[ppm],CO[ppm],NH3[ppm],NO2[ppm],H2(CO)[ppm],Etanol(CO)[ppm],NH3(CO)[ppm],H2S(CO)[ppm],CH4(CO)[ppm],C3H8(CO)[ppm],Iso-butano(CO)[ppm],Etanol(NH3)[ppm],H2(NH3)[ppm],C3H8(NH3)[ppm],Iso-butano(NH3)[ppm],NO(NO2)[ppm],H2(NO2)[ppm],lot,lat,A_1,speed,Angle,SO2_AFE,O3_AFE,PM2.5
2023-09-28,16:20:44.424902,21.9,70698.0,1486.08,45.79,503,0.0288,0.0013,0.0075,0.70,0.0093,0.38,0.00,1.3274,0.4861999999999999,0.4921999999999999,0.09,2.77,196.49,143.47,0.03,0.0038,-75.46415,6.866525,3073.1,18.07,1.5966714951921857,0.4107408769103979,0.11455639404901957,0.1629204717458399,
2023-09-28,16:20:44.566312,22.0,70621.0,1485.85,45.81,512,0.0289,0.0013,0.0076,0.71,0.0093999999999999,0.40,0.00,1.3558,0.4621,0.4715,0.09,2.77,196.49,143.47,0.03,0.0039,-75.4617,6.876057,3027.2,86.74,1.208508953201089,0.2661791337725399,0.019915329634309874,0.37792575632249653,
2023-09-28,16:20:44.680553,22.1,70578.0,1486.19,45.81,512,0.0286,0.0012,0.0077,0.71,0.0092,0.40,0.00,1.2996,0.4303,0.4437,0.09,2.77,196.49,143.47,0.03,0.0038,-75.4617,6.876057,3027.2,86.74,2.237302314791213,0.04729618225692811,-0.02063777387159861,0.4545100750303935,
2023-09-28,16:20:44.810816,22.3,70183.0,1486.01,45.82,512,0.0283999999999999,0.0012,0.0079,0.71,0.0092,0.40,0.00,1.2722,0.4046,0.4211,0.09,2.74,194.35,142.08,0.03,0.0038,-75.44555,6.907169000000001,3082.5,135.34,2.5248172747938606,0.2594832411627491,0.23917043251949577,0.46856782488816284,
2023-09-28,16:20:44.936196,22.4,70003.0,1485.72,45.84,512,0.0283999999999999,0.0011,0.008,0.70,0.0092,0.39,0.00,1.2722,0.3843,0.4031,0.09,2.77,196.49,143.47,0.03,0.0038,-75.439206,6.922393,3141.7,135.6,2.1504821700870713,0.4735781648930986,-0.060602886084128865,0.0052629006651353505,
2023-09-28,16:20:45.066186,22.5,69885.0,1485.90,45.84,512,0.0283999999999999,0.0011,0.0081999999999999,0.70,0.0092,0.38,0.00,1.2722,0.3686999999999999,0.3892,0.09,2.77,196.49,143.47,0.03,0.0038,-75.433081,6.935721000000001,3159.9,137.9,1.8379556988830679,0.26378683548955045,0.16099720053672523,0.33278449879028293,
2023-09-28,16:20:45.187990,22.6,69907.0,1485.83,45.84,512,0.0281,0.0011,0.0084,0.71,0.009,0.40,0.00,1.2191,0.35,0.3724,0.09,2.80,198.64,144.87,0.03,0.0037,-75.426681,6.950010000000001,3161.3,140.08,2.616769283170709,0.42215500917833143,0.107853930507113,0.33232713650100215,
2023-09-28,16:20:45.313815,22.7,69826.0,1485.66,45.87,512,0.0276,0.001,0.0086,0.71,0.0088,0.40,0.00,1.1432,0.3288,0.3531,0.09,2.77,196.49,143.47,0.03,0.0036,-75.420744,6.96426,3168.1,137.89,2.0859367053634292,0.264741807497641,-0.07963716393655525,0.48604116033767836,
2023-09-28,16:20:45.439234,22.8,69622.0,1485.77,45.88,512,0.0281,0.001,0.0087,0.71,0.009,0.40,0.00,1.2191,0.3253,0.35,0.09,2.77,196.49,143.47,0.03,0.0037,-75.41528100000001,6.977809,3190.2,136.97,2.745296390557074,0.3062792720517925,0.30437873559833695,0.11643311870646511,
2023-09-28,16:20:45.567369,22.9,69423.0,1485.87,45.88,512,0.0278,0.001,0.0087,0.71,0.0089,0.40,0.00,1.1681,0.3119,0.3377,0.09,2.77,196.49,143.47,0.03,0.0036,-75.409288,6.991812,3215.2,136.28,1.0942288419022774,0.4006156062499966,0.4132492112096001,0.048094886321158825,
2023-09-28,16:20:45.700209,23.0,69339.0,1485.90,45.88,512,0.0278,0.001,0.0089,0.72,0.0089,0.41,0.00,1.1681,0.3021999999999999,0.3287,0.09,2.80,198.64,144.87,0.03,0.0036,-75.402988,7.005803,3209.0,139.52,2.583334971662704,0.10274487771345442,0.28485963857148655,0.030344849884865688,
2023-09-28,16:20:45.825937,23.0,69389.0,1485.95,45.89,512,0.0278,0.001,0.009,0.71,0.0089,0.40,0.00,1.1681,0.2959,0.3228999999999999,0.09,2.77,196.49,143.47,0.03,0.0036,-75.396688,7.019405,3220.3,141.35,2.2474949368280894,0.07882897412417245,0.4784595472698485,0.15865154254620512,
2023-09-28,16:20:45.935572,23.1,69695.0,1485.86,45.89,512,0.0278,0.0009,0.0091,0.71,0.0089,0.40,0.00,1.1681,0.2866,0.3143,0.09,2.80,198.64,144.87,0.03,0.0036,-75.389494,7.03366,3183.3,144.1,2.7288497390423783,0.4468323607964956,0.19843203243080285,0.20043939997515842,
